'Amt','Pono','RowNum','ReqPrc.RequisitType','ReqPrc.ItemNo','ReqPrc.UOMPurchase','ReqPrc.JobNo','Qtyremn','Desc','Reqdate','0.cLineTypeDesc'
0.95000,'44032',3,'NS','','EA','',50.00000,'STRAIN RELEIF RD13NR',08/23/2019,'Non-Inventory'
1.25000,'44032',4,'NS','','EA','',25.00000,'STRAIN RELEIF RD16NR',08/23/2019,'Non-Inventory'
2.75000,'44032',5,'NS','','EA','',25.00000,'STRAIN RELEIF RD29NA',08/23/2019,'Non-Inventory'
0.07420,'44032',7,'NS','','FT','',35.00000,'WIRE GXL14-5 ORANGE',08/23/2019,'Non-Inventory'
0.05460,'44032',10,'NS','','FT','',58.00000,'WIRE GXL16-X GREEN',08/23/2019,'Non-Inventory'
0.00000,'44036',1,'NS','','EA','',1.00000,'REBORE 3.00 BORE   T2 LOWER  090350',09/05/2019,'Non-Inventory'
860.00000,'44038',1,'MT','.104617','EA','',1.00000,'ENGINE BOX WELDMENT 42"',08/23/2019,'Material'
700.00000,'44043',1,'NS','','EA','',1.00000,'MOVE COOLANT LINE  S/N 10342',08/27/2019,'Non-Inventory'
19.84000,'44044',1,'MT','.102604','EA','',2.00000,'CLAMP CYLINDER 3/16" STAINLESS STEEL',08/29/2019,'Material'
50.00000,'44044',2,'MT','.160578','EA','',1.00000,'CONTROL MOUNT HETRONICS - PLATFORM A62-5',08/29/2019,'Material'
29.17000,'44045',1,'NS','','EA','',1.00000,'COIL DA-0050  12V',09/10/2019,'Non-Inventory'
0.94000,'44045',2,'NS','','EA','',1.00000,'NUT SQ2.84.8',09/10/2019,'Non-Inventory'
64.40000,'44046',1,'NS','','EA','',2.00000,'Nut',08/29/2019,'Non-Inventory'
35.00000,'44047',1,'NS','','EA','',1.00000,'ID PLATE - REBUILD 10119',08/30/2019,'Non-Inventory'
1954.00000,'44048',1,'MT','.091154','EA','',5.00000,'CYLINDER T2 LVL  A62  6.0 X 30 X 3.0',12/11/2019,'Material'
2351.00000,'44048',4,'MT','.091155','EA','',5.00000,'CYLINDER BOOM 2  A62  6.0 X 39 X 3.0',12/11/2019,'Material'
2175.00000,'44048',7,'MT','.091156','EA','',5.00000,'CYLINDER BOOM 3 A62 6.0 X 39 X 3.0',12/11/2019,'Material'
793.00000,'44048',10,'MT','.091151','EA','',5.00000,'CYLINDER BOOM 4 A62  3.5 X 16 X 1.5',12/11/2019,'Material'
699.00000,'44048',13,'MT','.091201','EA','',7.00000,'CYLINDER LEVEL A62  3.5 X 12.38 x 1.5',12/11/2019,'Material'
2079.00000,'44049',1,'MT','.091149','EA','',5.00000,'CYLINDER B3 TELE A62  3.0 X 205 X 2.25',12/11/2019,'Material'
3.41000,'44050',1,'NS','','FT','',150.00000,'HOSE SLEEVE  7.75  SL 2.0',09/06/2019,'Non-Inventory'
2.44000,'44050',2,'NS','','FT','',150.00000,'HOSE SLEEVE  5.46   SL 1.5',09/06/2019,'Non-Inventory'
3.89000,'44050',3,'NS','','FT','',300.00000,'HOSE SLEEVE  11.0   SL 3.0',09/06/2019,'Non-Inventory'
4.67000,'44050',4,'NS','','FT','',150.00000,'HOSE SLEEVE  14.0   SL 4.0',09/06/2019,'Non-Inventory'
214.00000,'44051',1,'MT','.106099','EA','',1.00000,'WALKWAY REST WELDMENT T1 A62E',09/19/2019,'Material'
280.00000,'44051',2,'MT','.102453','EA','',1.00000,'COUNTERWEIGHT COVER WELDMENT AUX PLATFOR',09/19/2019,'Material'
2646.00000,'44051',5,'MT','.106094','EA','',1.00000,'COUNTERWEIGHT SHELL WELDMENT A62E',09/19/2019,'Material'
121.88000,'44052',1,'MT','.065686','EA','',2.00000,'LIFTING RING 3/4" 5000 LB CAPACITY 58658',09/12/2019,'Material'
8.14000,'44053',1,'MT','.063047','EA','',12.00000,'LIGHT RED IND1118',09/04/2019,'Material'
9.50000,'44053',2,'MT','.063048','EA','',6.00000,'LIGHT GREEN IND 1117',09/04/2019,'Material'
105.00000,'44054',1,'NS','','EA','',1.00000,'FLEX 50 KIT',08/29/2019,'Non-Inventory'
12.37000,'44055',1,'MT','.096457','GAL','',180.00000,'HYDRAULIC OIL MOBIL 10 DTE EXCEL 32',08/30/2019,'Material'
