Company,PartNum,PartDescription,IUM,PUM,ClassID,ProdCode,CommodityCode,TypeCode,CostMethod,BuyToOrder,UOMClassID,PhantomBOM,NonStock,Type_c,UnitPrice,TrackSerialNum,SNFormat,SNBaseDataType,,,,TrackSerialNum
VUK,0244-00-11,"Decal, Emerg. Op. Procedure Under Cover",EA,EA,9,9,8431390000,P,A,0,Count,FALSE,FALSE,Other,7.63,0,,,,,,
VUK,0246-30-01,Cage Mount Bracket - Load Sensing,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,405.2,0,,,,,,
VUK,02-6484-00-03,Proximity Plate - Land Rover Outrigger,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,6.01,0,,,,,,
VUK,02-6484-00-04,Outrigger Cover (Lower)  L/Rover,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,118.05,0,,,,,,
VUK,02-6484-00-05,Switch Cover,EA,EA,18,18,8536501110,P,A,0,Count,FALSE,FALSE,Other,44.27,0,,,,,,
VUK,02-6484-00-06,Proximity Switch Cover - Land Rover,EA,EA,18,18,8536501110,P,A,0,Count,FALSE,FALSE,Other,16.77,0,,,,,,
VUK,02-6522-00-02,Plastic Bush At Cylinder (Land Rover),EA,EA,18,18,3926909790,P,A,0,Count,FALSE,FALSE,Other,13.29,0,,,,,,
VUK,02-6522-00-03,Plastic Bush At Footplate (Land Rover),EA,EA,18,18,3926909790,P,A,0,Count,FALSE,FALSE,Other,40.76,0,,,,,,
VUK,02-6522-00-05,Proximity Switch Cover - Land Rover,EA,EA,18,18,8536501110,P,A,0,Count,FALSE,FALSE,Other,39.19,0,,,,,,
VUK,02-6522-20-01,Fixed Outrigger-Inner (Land Rover),EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,1021.33,0,,,,,,
VUK,02-6522-30-01,Foot Plate For Land Rover,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,365.58,0,,,,,,
VUK,02-8105-00-03,Footplate Flapdown,EA,EA,10,10,8431390000,P,A,0,Count,FALSE,FALSE,Other,130.59,0,,,,,,
VUK,02-8105-30-01,Outrigger,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,600.46,0,,,,,,
VUK,02-8160-00-02,Transit Leg Cover,EA,EA,18,18,8431390000,P,A,0,Count,FALSE,FALSE,Other,39.06,0,,,,,,
VUK,02851,Pto Switch  - Land Rover,EA,EA,20,20,8431390000,P,A,0,Count,FALSE,FALSE,Other,54.3,0,,,,,,
