Month,JobNo,CustPONo,CustomerID,Customer,OrderDate,RequestDate,NeedByDate,Shipping,Model,LiftSerialNo,LiftRecd,LiftWIP,VehicleType,ChassisNo,ChassisRecd,ChassisWIP,Supply,,SalesLineValue,WorkOrderNo,StockIssued,,Installation,Lift,Vehicle,WIP,NewServiceCall,NewJob,OpCode,OpCode2
April,17627,PB-33724,CUST1390,UIS Ltd,2019/02/28,2019/04/23,2019/04/30,,ETL36-F E6,VB180025,Yes,Yes,Ford Transit Euro 6,WFOXTTGXJM57916,Yes,No,VDL Stk,,48954,No,No,,INS ETL36-F E6,ETL36-F E6,VDL2000-053,10011,0,,,
April,17681,ROB BLADE ,CUST1032,Blade Roofing No1,2019/02/28,2019/04/23,2019/04/30,,ETL36-F ECO,VB180059,Yes,Yes,Ford Transit Euro 6,WFOXXTTGXJA78064,Yes,No,VDL Stk,,46146,No,No,,INS ETL36-F ECO,ETL36-F ECO,VDL2000-053,9081,0,,,
April,17682,76009,CUST1246,Gedling Borough Council,2019/02/28,2019/04/23,2019/04/30,,ETL36-F ECO,VB180060,Yes,Yes,Ford Transit Euro 6,WFOXXXTTGXKC23810,Yes,No,FI,,30850,No,No,,INS ETL36-F ECO,ETL36-F ECO,VDL2000-072,9025,0,,,
April,17763,Q69316,CUST571,VTL-135-F No8 (Selector with screen) - SHB Hire No1,2019/02/28,2019/04/23,2019/04/30,Collect,VTL-135-F,DKVTL-180018,Yes,Yes,Ford Transit Euro 6,WF0XXXTTGXJG89563,No,No,FI,,31162,10288,No,,INS VTL-135-F,VTL-135-F-S,VDL2000-072,14083,0,,,
April,17764,Q69317,CUST571,VTL-135-F No9 (Selector with screen) - SHB Hire No2,2019/02/28,2019/04/23,2019/04/30,Collect,VTL-135-F,DKVTL-180019,Yes,Yes,Ford Transit Euro 6,WF0XXXTTGXJG88927,Yes,No,FI,,31162,10289,No,,INS VTL-135-F,VTL-135-F-S,VDL2000-072,13958,0,,,
April,17765,Q69318,CUST571,VTL-135-F No10 (Selector with screen) - SHB Hire No3,2019/02/28,2019/04/23,2019/04/30,Collect,VTL-135-F,DKVTL-180020,Yes,Yes,Ford Transit Euro 6,WF0XXXTTGXJG88933,No,No,FI,,31162,10290,No,,INS VTL-135-F,VTL-135-F-S,VDL2000-072,13958,0,,,
April,17766,Q69319,CUST571,VTL-135-F No11 (Selector with screen) - SHB Hire No4,2019/02/28,2019/04/23,2019/04/30,Collect,VTL-135-F,DKVTL-180021,Yes,Yes,Ford Transit Euro 6,WF0XXXTTGXJG88936,No,No,FI,,31162,10291,No,,INS VTL-135-F,VTL-135-F-S,VDL2000-072,13995,0,,,
April,17767,Q69320,CUST571,VTL-135-F No12 (Selector with screen) - SHB Hire No5,2019/02/28,2019/04/23,2019/04/30,Collect,VTL-135-F,DKVTL-180022,Yes,Yes,Ford Transit Euro 6,WF0XXXTTGXJG88941,No,No,FI,,31162,10292,No,,INS VTL-135-F,VTL-135-F-S,VDL2000-072,13958,0,,,
April,17645,MR52140,CC964,Concorde Commercial,2019/02/28,2019/04/23,2019/04/30,,ETM38-F E6,VF180115,Yes,Yes,Iveco 50C15 E6,ZCFC150B505217662,Yes,No,VDL Stk,,67430,No,No,,INS ETM38-F E6,ETM38-F E6,VDL2000-054,54837,0,,,
April,17716,AHN58237,CUST430,Access Hire Nationwide No1,2019/02/28,2019/04/23,2019/04/30,Collect,ETL36-F ECO,VB180088,Yes,Yes,Ford Transit Euro 6,WF0XXXTTGXKC43438,No,No,FI,,26760,10238,Yes,,INS ETL36-F ECO,ETL36-F ECO,VDL2000-072,13498,0,,,
April,17717,AHN58237,CUST430,Access Hire Nationwide No2,2019/02/28,2019/04/23,2019/04/30,Collect,ETL36-F ECO,VB180089,Yes,Yes,Ford Transit Euro 6,WF0XXXTTGXKC43437,No,No,FI,,26760,10239,Yes,,INS ETL36-F ECO,ETL36-F ECO,VDL2000-072,13498,0,,,
April,17718,AHN58237,CUST430,Access Hire Nationwide No3,2019/02/28,2019/04/23,2019/04/30,Collect,ETL36-F ECO,VB180090,Yes,Yes,Ford Transit Euro 6,WF0XXXTTGXKC43438,No,No,FI,,26760,10237,Yes,,INS ETL36-F ECO,ETL36-F ECO,VDL2000-072,13498,0,,,
April,17719,AHN58237,CUST430,Access Hire Nationwide No4,2019/02/28,2019/04/23,2019/04/30,Collect,ETL36-F ECO,VB190001,No,No,Ford Transit Euro 6,WF0XXXTTGXKC43443,No,No,FI,,26760,10236,Yes,,INS ETL36-F ECO,ETL36-F ECO,VDL2000-072,13498,0,,,
April,17720,AHN58237,CUST430,Access Hire Nationwide No5,2019/02/28,2019/04/23,2019/04/30,Collect,ETL36-F ECO,VB190002,No,No,Ford Transit Euro 6,WF0XXXTTGXKC43442,No,No,FI,,26760,10234,Yes,,INS ETL36-F ECO,ETL36-F ECO,VDL2000-072,9122,0,,,
April,17773,Bridget  ,CUST953,SDB Equipment Ltd (Selector with screen),2019/02/28,2019/04/23,2019/04/30,Collect,VTL-135-F,DKVTL-180028,No,No,Ford Transit Euro 6,WFOXXXTTGJA68551,Yes,No,VDL Stk,,46797,10286,No,,INS VTL-135-F,VTL-135-F-S,VDL2000-053,0,0,,,
April,17774,Bridget  ,CUST953,SDB Equipment Ltd (Selector with screen),2019/02/28,2019/04/23,2019/04/30,Collect,VTL-135-F,DKVTL-180029,No,No,Ford Transit Euro 6,WFOXXTTGXKC24103,No,No,VDL Stk,,46797,10287,No,,INS VTL-135-F,VTL-135-F-S,VDL2000-053,0,0,,,
April,19027,Graham email 10.01.19 ,CUST1166,Highway Hire No1,2019/02/28,2019/04/23,2019/04/30,Collect,VTL-135-F,TBA,No,No,Ford Transit Euro 6,WFOXTTGXJM57905,Yes,No,VDL Stk,,49705,10282,No,,INS VTL-135-F,VTL-135-F-S,VDL2000-053,0,0,,,
April,19028,Graham email 10.01.19 ,CUST1166,Highway Hire No2,2019/02/28,2019/04/23,2019/04/30,Collect,VTL-135-F,TBA,No,No,Ford Transit Euro 6,WFOXTTGXJM57904,Yes,No,VDL Stk,,49705,10283,No,,INS VTL-135-F,VTL-135-F-S,VDL2000-053,0,0,,,
