Company,PartNum,PartDescription,ProdCode,IUM,PUM,ClassID,TypeCode,CostMethod,BuyToOrder,UOMClassID,PhantomBOM,NonStock,Type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-000-03,Valve bracket (Parker),1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-000-04,Turret LAT-H (Tecnord) assy,EO-00,EA,EA,2500,M,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-00-01,Turret LAT-H assy,EO-00,EA,EA,2500,M,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-00-02,Isolation bush,1301,EA,EA,1300,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-00-03,Insulator for lower boom,1201,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-00-06,Hinge for lifeline,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-00-09,Plate for terminalstrip,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-00-11,Clamp for valve,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-00-12,Brackt for El-valve,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-00-14,Valve upper holder,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-00-15,Tool for emergency use,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-00-16,Cover lock,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-01-01,Lid on turret weld,1203,EA,EA,1200,M,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-01-02,Lid for hydraulic lower contro,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-01-03,Lock for upper / lower control,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-02-01,Cover for valve,1203,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-02-01-67,Cover for valve,EO-67,EA,EA,2500,M,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-03-02,Tube for lever,1201,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-04-02,SKROTTET,1203,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-04-05,Cover for hydraulic valve 2,1203,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-04-06,Cover for hydraulic valve 1,1203,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-11046-20-01,Turret LW weld,1203,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
